seat_config,class_size,rho0,delta_lambda,trial,status,completed_at
outer_corner,96,0.5,0.3,1,done,2026-07-23T23:57:02.769
outer_corner,96,0.5,0.4,1,done,2026-07-23T23:57:15.132
outer_corner,128,0.5,0.0,1,done,2026-07-23T23:57:45.897
outer_corner,128,0.5,0.1,1,done,2026-07-23T23:58:06.208
outer_corner,128,0.5,0.2,1,done,2026-07-23T23:58:25.109
outer_corner,128,0.5,0.3,1,done,2026-07-23T23:58:35.306
outer_corner,128,0.5,0.4,1,done,2026-07-23T23:58:43.382
outer_corner,32,0.6,0.0,1,done,2026-07-23T23:58:43.400
outer_corner,32,0.6,0.1,1,done,2026-07-23T23:58:43.415
outer_corner,32,0.6,0.2,1,done,2026-07-23T23:58:43.432
outer_corner,32,0.6,0.3,1,done,2026-07-23T23:58:43.452
outer_corner,32,0.6,0.4,1,done,2026-07-23T23:58:43.471
outer_corner,48,0.6,0.0,1,done,2026-07-23T23:58:44.361
outer_corner,48,0.6,0.1,1,done,2026-07-23T23:58:44.897
outer_corner,48,0.6,0.2,1,done,2026-07-23T23:58:45.429
outer_corner,48,0.6,0.3,1,done,2026-07-23T23:58:45.906
outer_corner,48,0.6,0.4,1,done,2026-07-23T23:58:46.303
outer_corner,64,0.6,0.0,1,done,2026-07-23T23:58:47.969
outer_corner,64,0.6,0.1,1,done,2026-07-23T23:58:49.638
outer_corner,64,0.6,0.2,1,done,2026-07-23T23:58:51.386
outer_corner,64,0.6,0.3,1,done,2026-07-23T23:58:53.435
outer_corner,64,0.6,0.4,1,done,2026-07-23T23:58:55.187
outer_corner,96,0.6,0.0,1,done,2026-07-23T23:59:03.816
outer_corner,96,0.6,0.1,1,done,2026-07-23T23:59:16.967
outer_corner,96,0.6,0.2,1,done,2026-07-23T23:59:29.542
outer_corner,96,0.6,0.3,1,done,2026-07-23T23:59:40.240
outer_corner,96,0.6,0.4,1,done,2026-07-23T23:59:50.620
outer_corner,128,0.6,0.0,1,done,2026-07-24T00:00:20.542
outer_corner,128,0.6,0.1,1,done,2026-07-24T00:00:42.529
outer_corner,128,0.6,0.2,1,done,2026-07-24T00:00:59.790
outer_corner,128,0.6,0.3,1,done,2026-07-24T00:01:07.053
outer_corner,128,0.6,0.4,1,done,2026-07-24T00:01:15.229
outer_corner,32,0.7,0.0,1,done,2026-07-24T00:01:15.929
outer_corner,32,0.7,0.1,1,done,2026-07-24T00:01:15.956
outer_corner,32,0.7,0.2,1,done,2026-07-24T00:01:15.993
outer_corner,32,0.7,0.3,1,done,2026-07-24T00:01:16.048
outer_corner,32,0.7,0.4,1,done,2026-07-24T00:01:16.070
outer_corner,48,0.7,0.0,1,done,2026-07-24T00:01:17.138
outer_corner,48,0.7,0.1,1,done,2026-07-24T00:01:17.630
outer_corner,48,0.7,0.2,1,done,2026-07-24T00:01:18.219
outer_corner,48,0.7,0.3,1,done,2026-07-24T00:01:18.641
outer_corner,48,0.7,0.4,1,done,2026-07-24T00:01:19.090
outer_corner,64,0.7,0.0,1,done,2026-07-24T00:01:20.608
outer_corner,64,0.7,0.1,1,done,2026-07-24T00:01:22.317
outer_corner,64,0.7,0.2,1,done,2026-07-24T00:01:24.418
outer_corner,64,0.7,0.3,1,done,2026-07-24T00:01:26.109
outer_corner,64,0.7,0.4,1,done,2026-07-24T00:01:27.714
outer_corner,96,0.7,0.0,1,done,2026-07-24T00:01:37.343
outer_corner,96,0.7,0.1,1,done,2026-07-24T00:01:50.998
outer_corner,96,0.7,0.2,1,done,2026-07-24T00:02:03.159
outer_corner,96,0.7,0.3,1,done,2026-07-24T00:02:17.092
outer_corner,96,0.7,0.4,1,done,2026-07-24T00:02:28.003
outer_corner,128,0.7,0.0,1,done,2026-07-24T00:02:57.403
outer_corner,128,0.7,0.1,1,done,2026-07-24T00:03:21.054
outer_corner,128,0.7,0.2,1,done,2026-07-24T00:03:35.914
outer_corner,128,0.7,0.3,1,done,2026-07-24T00:03:43.255
outer_corner,128,0.7,0.4,1,done,2026-07-24T00:03:51.415
outer_corner,32,0.8,0.0,1,done,2026-07-24T00:03:51.432
outer_corner,32,0.8,0.1,1,done,2026-07-24T00:03:51.473
outer_corner,32,0.8,0.2,1,done,2026-07-24T00:03:51.489
outer_corner,32,0.8,0.3,1,done,2026-07-24T00:03:51.525
outer_corner,32,0.8,0.4,1,done,2026-07-24T00:03:51.536
outer_corner,48,0.8,0.0,1,done,2026-07-24T00:03:52.680
