class_length,rho0,delta_lambda,trial,status,completed_at
64,0.8,0.1,1,done,2026-07-23T23:51:10.407
64,0.8,0.2,1,done,2026-07-23T23:51:11.285
64,0.8,0.3,1,done,2026-07-23T23:51:11.424
64,0.8,0.4,1,done,2026-07-23T23:51:11.945
96,0.8,0.0,1,done,2026-07-23T23:51:12.925
96,0.8,0.1,1,done,2026-07-23T23:51:14.899
96,0.8,0.2,1,done,2026-07-23T23:51:16.228
96,0.8,0.3,1,done,2026-07-23T23:51:17.753
96,0.8,0.4,1,done,2026-07-23T23:51:21.363
128,0.8,0.0,1,done,2026-07-23T23:51:24.235
128,0.8,0.1,1,done,2026-07-23T23:51:27.092
128,0.8,0.2,1,done,2026-07-23T23:51:29.662
128,0.8,0.3,1,done,2026-07-23T23:51:32.336
128,0.8,0.4,1,done,2026-07-23T23:51:34.179
32,0.9,0.0,1,done,2026-07-23T23:51:34.183
32,0.9,0.1,1,done,2026-07-23T23:51:34.469
32,0.9,0.2,1,done,2026-07-23T23:51:34.476
32,0.9,0.3,1,done,2026-07-23T23:51:34.482
32,0.9,0.4,1,done,2026-07-23T23:51:34.492
48,0.9,0.0,1,done,2026-07-23T23:51:34.587
48,0.9,0.1,1,done,2026-07-23T23:51:34.657
48,0.9,0.2,1,done,2026-07-23T23:51:34.724
48,0.9,0.3,1,done,2026-07-23T23:51:34.824
48,0.9,0.4,1,done,2026-07-23T23:51:35.713
64,0.9,0.0,1,done,2026-07-23T23:51:35.814
64,0.9,0.1,1,done,2026-07-23T23:51:36.018
64,0.9,0.2,1,done,2026-07-23T23:51:36.206
64,0.9,0.3,1,done,2026-07-23T23:51:36.693
64,0.9,0.4,1,done,2026-07-23T23:51:36.922
96,0.9,0.0,1,done,2026-07-23T23:51:38.217
96,0.9,0.1,1,done,2026-07-23T23:51:38.779
96,0.9,0.2,1,done,2026-07-23T23:51:39.679
96,0.9,0.3,1,done,2026-07-23T23:51:41.809
96,0.9,0.4,1,done,2026-07-23T23:51:43.021
128,0.9,0.0,1,done,2026-07-23T23:51:44.364
128,0.9,0.1,1,done,2026-07-23T23:51:46.239
128,0.9,0.2,1,done,2026-07-23T23:51:48.137
128,0.9,0.3,1,done,2026-07-23T23:51:50.787
128,0.9,0.4,1,done,2026-07-23T23:51:51.861
32,1.0,0.0,1,done,2026-07-23T23:51:51.915
32,1.0,0.1,1,done,2026-07-23T23:51:51.920
32,1.0,0.2,1,done,2026-07-23T23:51:51.930
32,1.0,0.3,1,done,2026-07-23T23:51:52.096
32,1.0,0.4,1,done,2026-07-23T23:51:52.140
48,1.0,0.0,1,done,2026-07-23T23:51:52.186
48,1.0,0.1,1,done,2026-07-23T23:51:52.253
48,1.0,0.2,1,done,2026-07-23T23:51:52.277
48,1.0,0.3,1,done,2026-07-23T23:51:52.342
48,1.0,0.4,1,done,2026-07-23T23:51:52.417
64,1.0,0.0,1,done,2026-07-23T23:51:52.464
64,1.0,0.1,1,done,2026-07-23T23:51:53.024
64,1.0,0.2,1,done,2026-07-23T23:51:53.150
64,1.0,0.3,1,done,2026-07-23T23:51:53.472
64,1.0,0.4,1,done,2026-07-23T23:51:53.777
96,1.0,0.0,1,done,2026-07-23T23:51:54.278
96,1.0,0.1,1,done,2026-07-23T23:51:54.650
96,1.0,0.2,1,done,2026-07-23T23:51:55.328
96,1.0,0.3,1,done,2026-07-23T23:51:56.335
96,1.0,0.4,1,done,2026-07-23T23:51:57.857
128,1.0,0.0,1,done,2026-07-23T23:51:59.252
128,1.0,0.1,1,done,2026-07-23T23:52:01.172
128,1.0,0.2,1,done,2026-07-23T23:52:02.833
128,1.0,0.3,1,done,2026-07-23T23:52:04.977
128,1.0,0.4,1,done,2026-07-23T23:52:07.794
32,0.1,0.0,2,done,2026-07-23T23:52:21.780
32,0.1,0.1,2,done,2026-07-23T23:52:24.203
32,0.1,0.2,2,done,2026-07-23T23:52:25.273
32,0.1,0.3,2,done,2026-07-23T23:52:25.361
32,0.1,0.4,2,done,2026-07-23T23:52:38.700
48,0.1,0.0,2,done,2026-07-23T23:52:43.266
48,0.1,0.1,2,done,2026-07-23T23:52:43.539
48,0.1,0.2,2,done,2026-07-23T23:52:43.994
48,0.1,0.3,2,done,2026-07-23T23:52:53.856
48,0.1,0.4,2,done,2026-07-23T23:53:16.435
64,0.1,0.0,2,done,2026-07-23T23:53:17.945
64,0.1,0.1,2,done,2026-07-23T23:53:18.888
64,0.1,0.2,2,done,2026-07-23T23:53:40.501
64,0.1,0.3,2,done,2026-07-23T23:53:50.665
64,0.1,0.4,2,done,2026-07-23T23:54:17.963
96,0.1,0.0,2,done,2026-07-23T23:54:20.251
96,0.1,0.1,2,done,2026-07-23T23:54:21.621
96,0.1,0.2,2,done,2026-07-23T23:54:32.274
96,0.1,0.3,2,done,2026-07-23T23:54:49.342
96,0.1,0.4,2,done,2026-07-23T23:55:02.736
128,0.1,0.0,2,done,2026-07-23T23:55:03.731
128,0.1,0.1,2,done,2026-07-23T23:55:05.538
128,0.1,0.2,2,done,2026-07-23T23:55:07.715
128,0.1,0.3,2,done,2026-07-23T23:55:22.388
128,0.1,0.4,2,done,2026-07-23T23:55:47.687
32,0.2,0.0,2,done,2026-07-23T23:55:48.213
32,0.2,0.1,2,done,2026-07-23T23:55:48.227
32,0.2,0.2,2,done,2026-07-23T23:55:48.242
32,0.2,0.3,2,done,2026-07-23T23:55:48.277
32,0.2,0.4,2,done,2026-07-23T23:55:48.334
48,0.2,0.0,2,done,2026-07-23T23:55:48.440
48,0.2,0.1,2,done,2026-07-23T23:55:48.963
