seat_config,class_size,λ,m,num_generations
outer_corner,128,0.6,2.064782981718287,75.0
outer_corner,128,0.7,2.0236689992344563,71.33333333333333
outer_corner,128,0.8,2.0146252759774534,68.33333333333333
outer_corner,128,0.9,2.0065498401207473,67.33333333333333
outer_corner,128,1.0,2.000000000000004,64.0
center,32,0.1,1.69156286553293,64.33333333333333
center,32,0.2,1.86064945812442,34.333333333333336
center,32,0.3,1.9645530563910434,28.0
center,32,0.4,1.9856035805180057,23.666666666666668
center,32,0.5,1.97983653813474,23.333333333333332
center,32,0.6,2.0143213012153285,19.666666666666668
center,32,0.7,1.9990879124771903,19.0
center,32,0.8,1.9995771575040084,18.0
center,32,0.9,1.9997942348819528,17.333333333333332
center,32,1.0,2.000000000000001,16.0
center,64,0.1,1.8474216888158679,111.66666666666667
center,64,0.2,1.9714047610794811,65.33333333333333
center,64,0.3,1.9891411769031457,52.333333333333336
center,64,0.4,2.003039590883077,47.0
center,64,0.5,2.0292487018868175,42.666666666666664
center,64,0.6,2.02615532598836,38.333333333333336
center,64,0.7,2.022295808843408,37.666666666666664
center,64,0.8,2.012895243123946,35.666666666666664
center,64,0.9,1.9972621962969468,34.333333333333336
center,64,1.0,2.000000000000002,32.0
center,128,0.1,1.9297591246956802,208.0
center,128,0.2,1.9600829774791209,129.66666666666666
center,128,0.3,2.0297215794349146,101.66666666666667
center,128,0.4,2.056239198167994,90.0
center,128,0.5,2.025262994343936,81.33333333333333
center,128,0.6,2.0142018653361187,77.0
center,128,0.7,2.0267383387275966,73.0
center,128,0.8,2.0112617727294286,69.66666666666667
center,128,0.9,2.0014814873770868,67.33333333333333
center,128,1.0,2.000000000000004,64.0
random,32,0.1,1.6534816509149601,59.666666666666664
random,32,0.2,1.7099837786978165,34.333333333333336
random,32,0.3,1.8408941510905166,27.666666666666668
random,32,0.4,1.9573818247744557,24.333333333333332
random,32,0.5,1.8066940057819212,24.666666666666668
random,32,0.6,1.8088814839982825,25.0
random,32,0.7,1.8790320232614004,21.333333333333332
random,32,0.8,1.7774433597471386,24.666666666666668
random,32,0.9,1.916477671654264,20.0
random,32,1.0,1.736548942910016,23.333333333333332
random,64,0.1,1.7029943423397131,112.0
random,64,0.2,1.7430961444399795,77.66666666666667
random,64,0.3,1.843844517597417,54.0
random,64,0.4,1.8686743128498362,49.666666666666664
random,64,0.5,1.7878288449526198,51.0
random,64,0.6,1.8940206248162417,41.666666666666664
random,64,0.7,1.902888085136796,39.666666666666664
random,64,0.8,1.8143977832208698,43.0
random,64,0.9,1.828753926612478,39.666666666666664
random,64,1.0,1.8118041924445425,42.666666666666664
random,128,0.1,1.713940026635674,242.66666666666666
random,128,0.2,1.9646049313547085,114.0
random,128,0.3,1.8741325993397224,99.33333333333333
random,128,0.4,1.8905025123068728,92.66666666666667
random,128,0.5,1.9471311769183266,80.0
random,128,0.6,1.8450459958080823,86.0
random,128,0.7,1.8025595235082301,83.0
random,128,0.8,1.8742336781625013,80.66666666666667
random,128,0.9,1.7867998622214938,88.0
random,128,1.0,1.7204477520428918,87.0
